Property file name,Key
pre-registration-default.properties,spring.datasource.hikari.minimum-idle
pre-registration-default.properties,spring.datasource.hikari.maximum-pool-size
pre-registration-default.properties,registrationcenter.centerdetail.rest.uri
pre-registration-default.properties,mosip.preregistration.captcha.resourse.url
registration-processor-default.properties,IDREPODISCARDDRAFT
registration-processor-default.properties,mosip.regproc.packet.receiver.eventbus.kafka.max.poll.interval
registration-processor-default.properties,registration.processor.additional-process.category-mapping
registration-processor-default.properties,registration.processor.vid-support-for-update
registration-processor-default.properties,mosip.regproc.verification.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.manual.adjudication.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.workflow.action.job.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.workflow-manager.instance.api-id
registration-processor-default.properties,mosip.regproc.workflow-manager.instance.version
registration-processor-default.properties,registration.processor.notification.additional-process.category-mapping
registration-processor-default.properties,mosip.regproc.workflow.manager.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.biometric.sdk.providers.finger.mosip-ref-impl-sdk-client.config.parameter.restTemplate-max-connection-per-route
registration-processor-default.properties,mosip.biometric.sdk.providers.finger.mosip-ref-impl-sdk-client.config.parameter.restTemplate-total-max-connections
registration-processor-default.properties,mosip.biometric.sdk.providers.finger.mosip-ref-impl-sdk-client.config.parameter.restTemplate-ssl-bypass
registration-processor-default.properties,mosip.biometric.sdk.providers.iris.mosip-ref-impl-sdk-client.config.parameter.restTemplate-max-connection-per-route
registration-processor-default.properties,mosip.biometric.sdk.providers.iris.mosip-ref-impl-sdk-client.config.parameter.restTemplate-total-max-connections
registration-processor-default.properties,mosip.biometric.sdk.providers.iris.mosip-ref-impl-sdk-client.config.parameter.restTemplate-ssl-bypass
registration-processor-default.properties,mosip.biometric.sdk.providers.face.mosip-ref-impl-sdk-client.config.parameter.restTemplate-max-connection-per-route
registration-processor-default.properties,mosip.biometric.sdk.providers.face.mosip-ref-impl-sdk-client.config.parameter.restTemplate-total-max-connections
registration-processor-default.properties,mosip.biometric.sdk.providers.face.mosip-ref-impl-sdk-client.config.parameter.restTemplate-ssl-bypass
registration-processor-default.properties,mosip.regproc.camel.bridge.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.securezone.notification.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.packet.uploader.eventbus.kafka.poll.frequency
registration-processor-default.properties,mosip.regproc.packet.uploader.message.tag.loading.disable
registration-processor-default.properties,mosip.regproc.packet.uploader.message.tag.loading.disable
registration-processor-default.properties,mosip.regproc.packet.validator.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.operator-validator.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.cmd-validator.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.packet.classifier.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.quality.classifier.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.introducer-validator.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.demo.dedupe.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.abis.handler.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.abis.handler.caffeine.cache.enable
registration-processor-default.properties,mosip.regproc.bio.dedupe.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.uin.generator.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.abis.middleware.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.abis.middleware.caffeine.cache.enable
registration-processor-default.properties,mosip.regproc.biometric.extraction.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.finalization.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.biometric.authentication.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.reprocessor.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.supervisor-validator.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.message.sender.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.credentialrequestor.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.opencrvs.eventbus.kafka.max.poll.interval
registration-processor-default.properties,mosip.regproc.packet.classifier.tagging.exceptionbiometrics.before-exception-metainfo-change.reg-client-versions
registration-processor-default.properties,registration.processor.httpclient.connections.max.per.host
registration-processor-default.properties,registration.processor.httpclient.connections.max
registration-processor-default.properties,mosip.kernel.http.selftoken.restTemplate.max-connection-per-route
registration-processor-default.properties,mosip.kernel.http.selftoken.restTemplate.total-max-connections
registration-processor-default.properties,mosip.regproc.quality.classifier.max.pool.size
id-authentication-default.properties,ida-topic-remove-id-status
id-authentication-default.properties,management.endpoint.env.show-values
id-authentication-default.properties,spring.mvc.trailing-slash-match
id-authentication-default.properties,spring.batch.jdbc.initialize-schema
id-authentication-default.properties,management.endpoint.env.enabled
id-authentication-default.properties,webclient.buffer.max-in-memory-size
id-authentication-default.properties,spring.datasource.hikari.maximum-pool-size
id-authentication-default.properties,spring.datasource.hikari.minimum-idle
id-authentication-default.properties,webclient.connect-timeout-millis
id-authentication-default.properties,webclient.response-timeout-seconds
id-authentication-default.properties,mosip.ida.otp.notification.request.mode
id-authentication-default.properties,mosip.ida.email.timeout
id-authentication-default.properties,mosip.ida.sms.timeout
id-authentication-internal-default.properties,ida.batch.credential.store.thread.count
id-authentication-internal-default.properties,ida.batch.credential.store.page.size
id-authentication-internal-default.properties,mosip.kernel.http.selftoken.restTemplate.max-connection-per-route
id-authentication-internal-default.properties,mosip.kernel.http.selftoken.restTemplate.total-max-connections
id-authentication-internal-default.properties,spring.jpa.properties.hibernate.jdbc.batch_size
id-authentication-internal-default.properties,spring.jpa.properties.hibernate.order_inserts
id-authentication-internal-default.properties,spring.jpa.properties.hibernate.order_updates
id-authentication-internal-default.properties,spring.jpa.properties.hibernate.jdbc.batch_versioned_data
id-authentication-internal-default.properties,spring.datasource.hikari.minimum-idle
id-authentication-internal-default.properties,spring.datasource.hikari.maximum-pool-size
kernel-default.properties,mosip.kernel.uin.get_executor_pool
kernel-default.properties,mosip.kernel.vid.get_executor_pool
kernel-default.properties,mail.executor.core-pool-size
kernel-default.properties,mail.executor.max-pool-size
kernel-default.properties,mail.executor.queue-capacity
kernel-default.properties,mail.executor.keep-alive-seconds
kernel-default.properties,mail.executor.await-termination-seconds
kernel-default.properties,mail.executor.thread-name-prefix
kernel-default.properties,sms.executor.core-pool-size
kernel-default.properties,sms.executor.max-pool-size
kernel-default.properties,sms.executor.queue-capacity
kernel-default.properties,sms.executor.keep-alive-seconds
kernel-default.properties,sms.executor.await-termination-seconds
kernel-default.properties,sms.executor.thread-name-prefix
kernel-default.properties,spring.datasource.hikari.maximum-pool-size
kernel-default.properties,spring.datasource.hikari.minimum-idle
kernel-default.properties,mosip.kernel.partner.cacertificate.upload.minimumvalidity.month
kernel-default.properties,mosip.kernel.partner.issuer.certificate.duration.years
kernel-default.properties,mosip.kernel.partner.issuer.certificate.allowed.grace.duration
kernel-default.properties,mosip.kernel.keymanager.signature.kid.prepend

